Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
D,612,Faes,4.2,4.2,Leicester,0,-0.147,66,5.051,64,2.634,61,1.245,62,2.392,61,1.862,61,2.406,63,2.023,60,1.399
M,185,A.Doucouré,5.3,5.3,Everton,62,1.959,63,2.116,64,2.042,65,2.4,63,2.227,65,2.26,62,2.036,63,1.938,62,1.833
M,321,Lavia,4.5,4.5,Southampton,74,2.285,71,2.227,69,1.989,68,2.294,65,1.852,63,2.037,64,1.852,65,2.085,66,2.105
M,373,Willock,4.7,4.7,Newcastle,67,3.083,51,3.203,52,1.844,49,2.129,49,1.487,50,1.739,49,1.744,48,1.673,47,1.82
M,245,Roca,4.8,4.8,Leeds,77,2.681,72,4.936,62,2.061,59,1.503,61,1.401,58,1.618,58,1.769,56,1.353,56,1.381
F,288,Diogo Jota,8.8,8.8,Liverpool,0,0.0,45,3.671,44,1.875,38,1.97,38,2.058,33,1.954,33,3.207,34,1.91,33,1.975
M,303,Mahrez,7.4,7.4,Man City,0,0.0,48,2.121,49,2.446,48,2.392,48,0.021,49,2.139,49,4.494,47,2.454,46,2.482
D,180,Keane,4.2,4.2,Everton,69,2.467,67,2.394,65,1.875,65,2.732,60,2.093,62,2.107,59,1.785,61,1.681,60,1.413
D,57,Smith,4.3,4.3,Bournemouth,62,1.66,70,4.435,63,1.712,61,1.373,62,1.856,58,1.542,62,1.87,66,1.927,64,2.129
D,312,Dias,5.9,5.9,Man City,0,0.0,60,2.196,58,2.334,59,2.601,59,0.02,57,1.969,59,4.664,57,2.308,58,2.364
F,30,Ings,6.4,6.4,West Ham,0,0.0,52,4.034,47,1.937,49,1.747,49,2.075,47,1.745,46,3.302,46,1.747,47,1.829
M,300,Gündogan,7.3,7.3,Man City,0,0.0,56,2.126,58,2.582,55,2.288,56,0.021,54,2.115,53,4.295,55,2.386,54,2.39
M,277,Thiago,5.1,5.1,Liverpool,0,0.0,14,2.247,36,1.22,61,2.166,62,2.566,62,2.22,60,3.396,59,1.893,61,2.217
F,345,Martial,6.3,6.3,Man Utd,0,0.0,42,3.762,51,1.998,48,1.934,49,0.416,48,1.903,46,3.735,46,1.975,47,2.024
M,721,João Gomes,4.5,4.5,Wolves,7,1.704,8,1.842,13,2.038,13,2.114,13,2.101,12,2.123,12,2.001,9,1.903,10,1.835
M,340,Sancho,7.1,7.1,Man Utd,0,0.0,34,3.792,29,1.921,31,2.081,32,0.398,31,1.895,30,3.553,33,1.995,29,1.877
M,593,Casemiro,4.9,4.9,Man Utd,0,0.0,0,-0.337,0,-0.097,71,3.309,70,0.663,70,2.869,67,5.376,67,2.738,66,2.87
F,125,Enciso,4.6,4.6,Brighton,0,0.0,11,3.391,14,2.002,14,2.323,15,0.017,15,1.861,14,3.511,14,2.152,13,2.083
M,159,J.Ayew,5.3,5.3,Crystal Palace,64,2.032,60,1.912,60,1.888,60,1.98,59,1.945,59,1.794,58,1.782,60,1.799,61,2.2
M,293,Luis Díaz,7.8,7.8,Liverpool,0,0.0,9,2.257,13,1.3,23,1.582,30,2.16,38,2.167,41,3.505,42,2.084,45,2.206
M,506,Adams,4.9,4.9,Leeds,0,-0.139,17,1.953,36,1.05,71,2.242,75,1.913,77,2.614,76,2.782,77,2.234,76,2.45
D,545,Emerson,4.0,4.0,West Ham,0,0.0,59,4.566,54,1.7,57,1.573,56,1.981,53,1.419,55,2.834,53,1.468,53,1.514
M,23,Nelson,4.7,4.7,Arsenal,7,2.126,7,2.023,7,1.7,7,1.903,11,2.649,8,1.556,8,1.732,7,1.584,10,1.752
M,233,Harrison,5.7,5.7,Leeds,61,2.357,58,3.858,54,1.766,53,1.482,49,1.245,52,1.66,50,1.799,49,1.351,51,1.48
M,45,Bailey,4.4,4.4,Aston Villa,57,2.23,48,3.3,45,1.799,43,1.552,40,1.579,39,1.693,40,1.544,44,1.702,42,1.573
F,271,Daka,5.6,5.6,Leicester,32,1.627,34,3.455,36,1.811,35,1.453,35,1.735,33,1.727,33,1.811,37,1.736,35,1.528
M,211,Reed,4.3,4.3,Fulham,0,0.0,67,2.363,65,2.177,64,2.129,63,1.596,62,1.897,62,2.906,61,1.887,60,1.818
M,225,Rodrigo,6.3,6.3,Leeds,31,1.76,48,3.492,42,1.754,41,1.553,40,1.369,39,1.748,40,1.977,41,1.497,41,1.608
M,552,Anderson,4.3,4.3,Newcastle,26,1.698,17,3.108,16,1.76,15,2.036,14,1.484,16,1.495,15,1.466,15,1.707,16,1.762
F,701,Weghorst,5.7,5.7,Man Utd,0,0.0,48,3.583,45,1.897,44,1.901,42,0.368,41,1.72,41,3.404,40,1.811,38,1.832
M,349,Shelvey,4.8,4.8,Nott'm Forest,64,2.127,57,3.434,59,1.737,57,1.566,54,1.419,54,1.436,56,1.57,55,1.596,55,1.455
F,700,Rutter,5.3,5.3,Leeds,32,1.71,30,3.143,32,1.699,30,1.486,32,1.331,33,1.699,33,1.907,34,1.515,33,1.59
F,397,Awoniyi,5.6,5.6,Nott'm Forest,0,0.033,5,2.401,18,1.77,29,1.877,34,1.938,34,1.907,34,2.004,33,2.072,35,1.977
M,89,Wissa,5.3,5.3,Brentford,25,1.403,33,2.957,40,1.552,37,1.7,44,1.703,41,1.544,40,1.789,50,1.579,47,1.709
D,109,Veltman,4.6,4.6,Brighton,0,0.0,52,3.254,53,1.807,58,2.53,49,0.013,51,1.704,51,3.031,50,1.974,49,1.614
F,529,Scamacca,6.6,6.6,West Ham,0,0.0,35,3.315,36,1.695,34,1.514,37,1.758,37,1.518,36,2.948,34,1.565,34,1.594
F,279,Firmino,8.0,8.0,Liverpool,0,0.0,26,3.132,27,1.608,27,1.742,27,1.796,23,1.601,25,2.637,27,1.718,26,1.647
F,682,Cunha,5.5,5.5,Wolves,58,2.061,55,2.045,53,1.696,48,1.654,48,1.744,50,1.759,47,1.559,47,1.723,48,1.637
F,476,Jiménez,6.7,6.7,Wolves,35,1.843,34,1.929,34,1.717,32,1.756,31,1.828,28,1.551,30,1.598,32,1.832,31,1.711
M,240,Summerville,4.2,4.2,Leeds,42,1.663,34,3.176,37,1.647,33,1.463,32,1.289,36,1.648,35,1.842,34,1.445,32,1.544
F,255,Vardy,9.1,9.1,Leicester,31,1.525,30,3.135,35,1.655,33,1.444,34,1.61,33,1.597,34,1.655,32,1.601,35,1.471
M,47,Ramsey,5.2,5.2,Aston Villa,67,2.688,58,3.374,54,1.563,54,1.431,50,1.255,51,1.43,51,1.246,48,1.33,50,1.257
M,569,Garnacho,4.2,4.2,Man Utd,0,0.0,21,3.347,21,1.747,22,1.761,22,0.358,21,1.664,20,3.235,21,1.694,20,1.716
M,720,McKennie,4.8,4.8,Leeds,79,2.824,70,4.628,61,1.864,50,1.012,52,0.944,50,1.107,48,1.193,48,0.947,49,0.991
M,311,Bernardo,6.7,6.7,Man City,0,0.0,55,1.751,55,2.078,57,2.223,53,0.016,52,1.629,52,3.56,54,2.097,54,2.137
M,111,Trossard,6.6,6.6,Arsenal,50,1.946,39,1.803,37,1.595,39,1.774,36,1.89,31,1.545,34,1.654,36,1.646,36,1.603
D,448,Perišić,5.4,5.4,Spurs,56,2.435,53,2.113,49,1.5,39,1.702,37,1.481,36,1.492,37,1.418,37,1.631,39,1.637
D,309,Laporte,5.7,5.7,Man City,0,0.0,53,1.556,56,2.293,56,2.261,56,0.018,55,1.738,54,3.636,53,2.015,52,1.886
F,123,Undav,5.0,5.0,Brighton,0,0.0,14,3.118,17,1.628,18,1.973,19,0.015,19,1.922,17,2.939,16,2.025,18,1.764
M,589,Matheus,4.8,4.8,Wolves,60,1.962,59,1.936,60,1.811,59,1.758,57,1.661,55,1.59,54,1.437,55,1.616,54,1.427
M,688,Schade,4.9,4.9,Brentford,24,1.344,35,2.861,41,1.481,38,1.613,45,1.625,44,1.411,43,1.715,47,1.436,48,1.64
M,189,Gray,5.3,5.3,Everton,49,1.66,47,1.654,47,1.609,46,1.742,48,1.767,48,1.671,50,1.855,45,1.512,48,1.596
