,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
173,D,89.0,Zabarnyi,44,44,Bournemouth,78.0,2.427,78.0,2.157,78.0,3.731,78.0,2.733,78.0,3.001,78.0,2.266,78.0,2.011,78.0,2.475,78.0,3.339,78.0,2.541,78.0,1.663,78.0,1.56
174,F,594.0,Amdouni,53,53,Burnley,67.0,2.597,67.0,2.448,67.0,2.439,67.0,2.541,67.0,2.384,67.0,2.399,67.0,2.701,67.0,2.33,67.0,2.54,67.0,2.377,67.0,2.422,67.0,2.528
175,M,493.0,Bissouma,50,50,Spurs,80.0,2.582,80.0,2.336,80.0,2.549,80.0,2.569,80.0,2.329,80.0,2.642,80.0,2.361,80.0,2.417,80.0,2.44,80.0,2.433,80.0,2.668,80.0,2.291
176,D,604.0,Aina,45,45,Nott'm Forest,69.0,2.591,69.0,2.744,69.0,2.585,69.0,3.149,69.0,1.779,69.0,2.571,69.0,2.081,69.0,2.076,69.0,2.738,69.0,2.034,69.0,2.921,69.0,2.081
177,D,178.0,Taylor,40,40,Burnley,79.0,2.758,79.0,2.014,79.0,3.098,79.0,2.628,79.0,2.03,79.0,2.001,79.0,3.865,79.0,1.489,79.0,3.078,79.0,1.733,79.0,2.043,79.0,2.528
178,D,121.0,Zanka,43,43,Brentford,63.0,2.184,63.0,2.93,63.0,2.514,0.0,0.0,63.0,3.077,63.0,3.746,63.0,3.209,63.0,2.359,63.0,1.788,63.0,2.692,63.0,2.161,63.0,2.558
179,D,262.0,Patterson,44,44,Everton,67.0,2.113,67.0,2.335,67.0,2.969,67.0,2.428,67.0,1.706,67.0,2.835,67.0,2.509,67.0,2.712,67.0,2.706,67.0,1.549,67.0,2.981,67.0,2.262
180,M,133.0,Gilmour,49,49,Brighton,64.0,2.251,64.0,2.647,64.0,2.175,64.0,2.423,64.0,2.289,64.0,2.397,64.0,2.57,64.0,2.566,64.0,2.48,64.0,2.225,64.0,2.6,64.0,2.393
181,M,65.0,Christie,50,50,Bournemouth,64.0,2.432,64.0,2.354,64.0,2.777,64.0,2.519,64.0,2.516,64.0,2.309,64.0,2.252,64.0,2.441,64.0,2.601,64.0,2.464,64.0,2.198,64.0,2.146
182,D,245.0,Branthwaite,41,41,Everton,74.0,2.069,74.0,2.32,74.0,2.994,74.0,2.41,74.0,1.611,74.0,2.855,74.0,2.521,74.0,2.721,74.0,2.751,74.0,1.411,74.0,3.049,74.0,2.219
183,D,36.0,Cash,50,50,Aston Villa,60.0,1.637,60.0,2.014,60.0,1.99,60.0,3.266,60.0,2.126,60.0,3.043,60.0,2.349,60.0,1.955,60.0,2.77,60.0,2.4,60.0,2.402,60.0,2.949
184,D,573.0,Toti,44,44,Wolves,65.0,3.018,65.0,2.932,65.0,2.295,65.0,2.026,65.0,1.93,65.0,2.703,65.0,1.938,65.0,2.308,65.0,1.812,65.0,2.169,65.0,2.133,65.0,3.335
185,M,394.0,Pellistri,44,44,Man Utd,64.0,2.248,64.0,2.546,64.0,2.175,64.0,2.346,64.0,2.291,64.0,2.464,64.0,2.325,64.0,2.454,64.0,2.408,64.0,2.232,64.0,2.537,64.0,2.419
186,D,176.0,Roberts,44,44,Burnley,79.0,2.665,79.0,1.925,79.0,3.0,79.0,2.532,79.0,1.939,79.0,1.91,79.0,3.771,79.0,1.4,79.0,2.983,79.0,1.642,79.0,1.955,79.0,2.432
187,M,481.0,Fleck,49,49,Sheffield Utd,67.0,2.268,67.0,2.295,67.0,2.238,67.0,2.237,67.0,2.61,67.0,2.161,67.0,2.423,67.0,2.341,67.0,2.295,67.0,2.485,67.0,2.306,67.0,2.41
188,D,151.0,Veltman,44,44,Brighton,60.0,2.131,60.0,2.769,60.0,1.72,60.0,2.164,60.0,2.259,60.0,2.187,60.0,2.607,60.0,2.457,60.0,2.361,60.0,2.031,60.0,2.485,60.0,2.488
189,F,135.0,João Pedro,53,53,Brighton,55.0,2.155,55.0,2.563,55.0,2.026,55.0,2.209,55.0,2.141,55.0,2.178,55.0,2.335,55.0,2.671,55.0,2.303,55.0,2.053,55.0,2.693,55.0,2.226
190,D,150.0,Van Hecke,40,40,Brighton,60.0,2.107,60.0,2.756,60.0,1.703,60.0,2.15,60.0,2.234,60.0,2.173,60.0,2.591,60.0,2.443,60.0,2.348,60.0,2.006,60.0,2.471,60.0,2.464
