"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"378","Arter","MID","NFO","4.5","0.15","2.63","0.14","2.11","0.14","2.11","0.13","2.11","0.15","2.11","5.26"
"450","P Sarr","MID","TOT","4.5","0.14","2.11","0.15","2.11","0.15","2.11","0.14","2.11","0.15","2.11","5.42"
"54","Archer","FWD","AVL","4.5","0.14","2.21","0.08","1.32","0.09","1.32","0.08","1.32","0.08","1.32","3.22"
"489","Toti","DEF","WOL","4","0.13","3.16","0.08","3.16","0.12","3.16","0.12","3.16","0.13","3.16","3.96"
"133","Kepa","GK","CHE","4.5","0.12","2.96","0.13","2.96","0.13","2.96","0.14","2.96","0.13","2.96","4.80"
"65","Stacey","DEF","BOU","4.5","0.12","4.74","0.20","4.74","0.13","4.74","0.18","3.55","0.11","2.37","3.97"
"96","Goode","DEF","BRE","4","0.11","3.16","0.06","1.58","0.00","0.05","0.00","0.05","0.00","0.05","0.29"
"24","Turner","GK","ARS","4","0.10","2.37","0.11","2.37","0.11","2.37","0.10","2.37","0.08","2.37","3.63"
"517","Strakosha","GK","BRE","4.5","0.10","2.96","0.11","2.96","0.13","2.96","0.11","2.96","0.12","2.96","3.97"
"494","Mosquera","DEF","WOL","4","0.10","1.84","0.07","1.84","0.09","1.84","0.09","1.84","0.10","1.84","3.09"
"4","Elneny","MID","ARS","4.5","0.10","2.37","0.10","2.37","0.10","2.37","0.10","2.37","0.09","2.37","3.48"
"36","Sanson","MID","AVL","4.5","0.10","1.58","0.09","1.58","0.09","1.58","0.08","1.58","0.08","1.58","3.29"
"497","Adrian","GK","LIV","4","0.09","1.84","0.01","0.18","0.01","0.18","0.01","0.18","0.01","0.18","0.39"
"501","N Phillips","DEF","LIV","4","0.09","1.84","0.07","1.84","0.10","1.84","0.09","1.84","0.08","1.84","2.99"
"530","C Richards","DEF","CRY","4.5","0.09","3.68","0.16","3.68","0.08","3.68","0.17","3.68","0.14","3.68","5.36"
"525","Augustinsson","DEF","AVL","4.5","0.09","1.84","0.07","1.84","0.08","1.84","0.06","1.84","0.05","1.84","2.62"
"56","Guilbert","DEF","AVL","4","0.09","1.84","0.07","1.84","0.08","1.84","0.06","1.84","0.05","1.84","2.61"
